bibkey,ss_id,all_ss_ids,comment
Char18,3ed451d2830a2afcbbd254f0015eeafa796ba1b7,"['3ed451d2830a2afcbbd254f0015eeafa796ba1b7', '4fd1ad386d794e9baff286b212013b3b44bb7bd3']","multiple doi matches ['3ed451d2830a2afcbbd254f0015eeafa796ba1b7', '4fd1ad386d794e9baff286b212013b3b44bb7bd3'], took the first one with most citations"
Char19,4c1db92618a758e92b0964e7ed65ea7ec48af0f0,,single doi match
Chle18,27cebb08aca785444166209593fc0ec740469b1b,"['27cebb08aca785444166209593fc0ec740469b1b', '96438076b4dfa87956f55c0d8cef9c198de2beb7']","multiple doi matches ['27cebb08aca785444166209593fc0ec740469b1b', '96438076b4dfa87956f55c0d8cef9c198de2beb7'], took the first one with most citations"
Chle19,5bdb1a2667cbf2ce2f6142f14218df298a9eb090,,single doi match
Chun17,bc86e211f26bd5c68e9548c1c215fa9605c6daa2,,single doi match
Chun17a,abdee0f36ad16d6c3064aee8e98c4b2bd6c691a0,,single doi match
Chun18,ef537c1ce62c69018575d2c90b70024a32256ef5,,single doi match
Chun18b,1cc0b06d80d21082d2610f11daa488cc6817b207,,single doi match
Ciet14,f94e09771e679cce8593b18228915cb5b7474141,,single doi match
Ciom14c,c46078f5f85c01090f2ee949a0d332de7d6e4463,,single doi match
Ciom15,671d9c99335001133ebf2125167aa2f2bcee6efa,,single doi match
Ciom15a,622791cfb4e509158fbc858e9a970283de0f8045,,single doi match
Ciom16a,271e85d19b4cd1997a110525ffb66df7a8fa7fe6,,single doi match
Ciom17,87b612323f759cea5cb224331bfacf59a0f335b6,,single doi match
Ciom17a,fd0901b1f2121506391a7859de8fb695d159a393,,single doi match
Cohe16,2639e166ecb1dc63dcfe61eefe66b3e2213f17f6,,single doi match
Cohe16a,670931e779bb4fe0dbb9a9bf3c00e5a53ce0f26b,,single doi match
Cohe17,5f74400c97e716a85f20871b4b477dbca9680664,,single doi match
Dale04,1536728fbcefe01ebf1d6f670b2308fac4565910,,single doi match
Dale07,98607603fde29967bbef46cb8e5915c2d0b2d739,,single doi match
Dalm16,2662ff8ddd7135754bc72ca833eacfc1f307aeb1,,single doi match
Dalm17,11f7a41abab06b8792057fa46cd3de08b22ac7d0,,single doi match
Dalm18,c752bf23b7c12e6f81b6d2b014e29597095a8f94,,single doi match
Dalm19,78a25fcd0825f006d8326a932d681e9420a9b77f,,single doi match
Dana97,8a07de049e417cc61442d8c1ecc576155f6777a8,,single doi match
DeSo19,4d1a108034c95b70c51ffcc73cec398e312b3446,,single doi match
Deba10,6d0c6c2a9a8c9d13e071fe9b6d76e57f3c301a33,,single doi match
Deba11,5fd64cf068745acfc9df060a4aecb7ff6e68ead4,,single doi match
Deba16,70079b1af89534ad1caa342fdac269789d31459c,,single doi match
Deba16a,7b919a690fea032f8b55339c2a0f4abc56add55b,,single doi match
Deba19,663b19914b7fe99a2c3cc1641ba8d47109d63db2,,single doi match
Dekk20,583fa25f21581a7bf39510373038cb9d69004232,,single doi match
Dekk21,f8fd6c688a6da313e69e95559c1db7cfa1fb04d0,,single doi match
Dett14,8b8211800c55a1cf2cb5b9809294d09bc21b8168,,single doi match
Deva17,f2ea47c7c53d8728b0ba4f4f0edb945edf877d4c,,single doi match
Diez14,cbf00889d89fe8c70d66ad190cc94c3ed25f7f42,,single doi match
Dijc11,de4199466e65c57d27343bcc67a9261037d304cc,,single doi match
Dijk13,529b7ddc8fb2f886b919b66ff8704b96fe16c0af,,single doi match
Dijk15,32cfbed76bd55d2aa3c2fa54652941d01994dc35,,single doi match
Dong10,644ca5e97840d8532c7bdcf142cb49e398ae4ea0,,single doi match
Durm14,c20d695eb6eabe26c449e5e4a75d214c92b636dd,,single doi match
Durm14a,dc399a6d32501c1b878002ed27dfd7c54ab82965,,single doi match
Eeke20a,8bc7e464965aabd635e4bc2e76d186d6d2c04e01,,single doi match
Eeke21,191e15acc68311c29c38a4bbfa0769608fa48fbc,,single doi match
Ehte16,2729d2918978d5ed602aa843fbdd027d83e0036f,,single doi match
Ehte16a,7e39820fb261f367ce8bf362de991ebff4400083,,single doi match
